CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Male,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,20,14
12,Female,35,20,35
13,Female,58,21,15
14,Female,24,21,77
15,Male,37,22,13
16,Female,22,22,79
17,Male,35,23,35
18,Male,20,23,66
19,Female,52,24,29
20,Female,35,24,98
21,Male,25,25,73
22,Male,46,25,5
23,Female,31,26,73
24,Male,54,26,14
25,Female,29,28,82
26,Male,45,28,32
27,Female,35,28,61
28,Male,40,29,31
29,Female,23,29,87
30,Male,60,30,4
